imp_metabolite,flux_sum_min_1,flux_sum_min_2,flux_sum_min_3,flux_sum_min_4,flux_sum_min_5
MNXM107[e],0,0,0,0,0
MNXM1102072[e],0,0,0,0,0
MNXM1104527[e],0,0,0,0,0
MNXM1104756[e],0,0,0,0,0
MNXM1105732[e],0,0,0,0,0
MNXM1106000[e],0,0,0,0,0
MNXM1106044[e],0,0,0,0,0
MNXM1106164[e],0,0,0,0,0
MNXM1106761[e],0,0,0,0,0
MNXM1106762[e],0,0,0,0,0
MNXM1107192[e],0,0,0,0,0
MNXM1107769[e],0,0,0,0,0
MNXM1107821[e],0,0,0,20.8375777789746,2.29802387296667
MNXM1107900[e],0,0,0,0,0
MNXM1107903[e],0,0,0,0,0
MNXM1107981[e],0,0,0,0,0
MNXM1108092[e],0,0,0,0,0
MNXM1108206[e],0,0,0,0,0
MNXM1118[e],0,0,0,0,0
MNXM1137670[e],0,0,0,0,0
MNXM114[e],0,0,0,0,0
MNXM117[e],0,0,0,0,0
MNXM118[e],0,0,0,0,0
MNXM1275[e],0,0,0,0,0
MNXM128[e],1.30655556861692,1.51797599517569,1.34621121494917,1.85672128265899,0.819633230384735
MNXM13[e],0,0,0,0,0
MNXM2255[e],0.173454719971745,0.201519351702984,0.17871860674998,0.246492205601354,0.108811973258937
MNXM270[e],0,0,0,0,0
MNXM274[e],0.0342335080688137,0.0221293610965612,0.00486377765045598,0.0052054858660576,0
MNXM27[e],0.174851957828103,0.113028381210314,0.0248436153539058,0.0265866607505057,0
MNXM289[e],0,0,0,0,0
MNXM29[e],0,0,0,0,0
MNXM311[e],0,0,0,0,0
MNXM3230[e],0,0,0,0,0
MNXM3448[e],0,0,0,0,0
MNXM37[e],0,0,0,0,0
MNXM40494[e],0,0,0,0,0
MNXM435[e],0,0,0,0,0
MNXM458[e],0,0,0,0,0
MNXM617[e],0,0,0,0,0
MNXM647[e],0,0,0,0,0
MNXM653[e],2.1775937395894,2.52990982913539,2.24368443390726,3.09453902381848,1.36605501963341
MNXM664[e],0,0,0,0,0
MNXM683[e],0,0,0,0,0
MNXM726092[e],0,0,0,0,0
MNXM726638[e],0,0,0,0,0
MNXM726711[e],1.11655189062022,0.726711948225359,0.171495198917896,0.226945230205654,9.40284319943884e-05
MNXM726712[e],0,0,0,0,0
MNXM727657[e],0,0,0,0,0
MNXM728337[e],48.3083138108069,31.4416678575059,7.41985115400923,9.81895708483708,0.00412069047593742
MNXM729215[e],0.0855972747665036,0.0994466437495426,0.0881955747552322,0.121641076983178,0.0536965703866655
MNXM729302[e],0,0,0,0,0
MNXM729800[e],0,0,0,0,0
MNXM729972[e],0,0,0,0,0
MNXM731166[e],0.177973024863119,0.206767844916769,0.183373490070736,0.252913360473282,0.111645304154691
MNXM731368[e],0,0,0,0,0
MNXM731950[e],0,0,0,0,0
MNXM732620[e],0,0,0,0,0
MNXM733186[e],0,0,0,0,0
MNXM734864[e],0,0,0,0,0
MNXM735438[e],0,0,0,0,0
MNXM735978[e],1.30655506441374,1.51796031798202,1.34621054416428,1.85672142861869,0.81963562913751
MNXM736072[e],0,0,0,0,0
MNXM736620[e],0,0,0,0,0
MNXM738068[e],0,0,0,0,0
MNXM738430[e],0,0,0,0,0
MNXM738804[e],0,0,0,0,0
MNXM739527[e],0,0,0,0,0
MNXM739756[e],0,0,0,0,0
MNXM741173[e],0,0,0,0,0
MNXM741664[e],0,0,0,0,0
MNXM745[e],0,0,0,0,0
MNXM75[e],0,0,0,0,0
MNXM78362[e],0,0,0,0,0
MNXM821[e],0,0,0,0,0
MNXM8263[e],0,0,0,0,0
MNXM8664[e],0,0,0,0,0
MNXM8667[e],0,0,0,0,0
MNXM8670[e],0,0,0,0,0
MNXM8868[e],0,0,0,0,0
MNXM89612[e],0,0,0,0,0
MNXM90960[e],0,0,0,0,0
MNXM90[e],0,0,0,0,0
MNXM9[e],0.0251013846841926,0.0291629501346462,0.0258638162788358,0.0356718816157667,0.0157465705352084
WATER[e],0,0,0,0,0
